customer_id,age_range,gender,region,registration_month,customer_segment
CUST_200341,65+,Male,Netherlands,2022-02,
CUST_200342,55-64,Female,Italy,2022-11,
CUST_200345,25-34,Male,Greece,2022-01,
CUST_200346,25-34,Male,Greece,2022-01,
CUST_200347,55-64,Male,Netherlands,2022-04,
CUST_200353,25-34,Female,Azerbaijan,2022-03,
CUST_200355,35-44,Male,Germany,2022-01,
CUST_200357,45-54,Female,Germany,2022-01,
CUST_200358,35-44,Male,Kosovo,2022-04,
CUST_200362,35-44,Male,Turkey,2022-05,
CUST_200365,55-64,Female,Kosovo,2022-09,
CUST_200367,25-34,Male,Poland,2022-06,
CUST_200375,65+,Male,Azerbaijan,2022-03,
CUST_200377,65+,Female,Kosovo,2022-03,
CUST_200378,25-34,Female,Germany,2022-05,
CUST_200379,35-44,Female,Turkey,2022-01,
CUST_200384,65+,Male,Turkey,2022-03,
CUST_200389,25-34,Male,Netherlands,2022-05,
CUST_200393,35-44,Female,Romania,2022-01,
CUST_200394,65+,Male,Italy,2022-01,
CUST_200395,35-44,Male,Romania,2022-01,
CUST_200399,65+,Male,Turkey,2022-01,
CUST_200401,18-24,Male,Turkey,2022-01,
CUST_200402,35-44,Female,Turkey,2022-01,
CUST_200403,65+,Male,Greece,2022-01,
CUST_200405,65+,Male,Bulgaria,2022-12,
CUST_200411,18-24,Female,Greece,2022-05,
CUST_200412,65+,Female,Bulgaria,2022-03,
CUST_200414,65+,Male,Greece,2022-06,
CUST_200417,55-64,Male,Bulgaria,2022-10,
CUST_200423,35-44,Male,Poland,2022-05,
CUST_200429,35-44,Female,Kosovo,2022-01,
CUST_200432,45-54,Female,Italy,2022-02,
CUST_200433,25-34,Female,Germany,2022-01,
CUST_200434,35-44,Male,Germany,2022-01,
CUST_200435,45-54,Female,Netherlands,2022-05,
CUST_200437,35-44,Female,Kosovo,2022-06,
CUST_200438,45-54,Male,Bulgaria,2022-08,
CUST_200439,55-64,Male,Greece,2022-06,
CUST_200440,65+,Female,Germany,2022-01,
CUST_200446,65+,Male,Bulgaria,2022-09,
CUST_200452,25-34,Female,Kosovo,2022-06,
CUST_200453,55-64,Male,Netherlands,2022-06,
CUST_200454,35-44,Female,Netherlands,2022-03,
CUST_200455,35-44,Female,Netherlands,2022-05,
CUST_200458,55-64,Male,Greece,2022-01,
CUST_200459,55-64,Female,Netherlands,2022-11,
CUST_200463,25-34,Female,Bulgaria,2022-01,
CUST_200464,65+,Male,Greece,2022-04,
CUST_200468,25-34,Female,Turkey,2022-03,
CUST_200471,55-64,Female,Azerbaijan,2022-09,
CUST_200473,45-54,Male,Azerbaijan,2022-01,
CUST_200476,65+,Male,Netherlands,2022-05,
CUST_200477,35-44,Female,Germany,2022-11,
CUST_200478,65+,Male,Netherlands,2022-01,
CUST_200479,35-44,Male,Germany,2022-01,
CUST_200480,18-24,Male,Romania,2022-11,
CUST_200492,55-64,Male,Bulgaria,2022-01,
CUST_200493,55-64,Male,Netherlands,2022-02,
CUST_200494,45-54,Female,Bulgaria,2022-01,
CUST_200495,25-34,Male,Turkey,2022-01,
CUST_200497,65+,Male,Turkey,2022-01,
CUST_200499,35-44,Male,Turkey,2022-01,
CUST_200505,65+,Female,Germany,2022-02,
CUST_200506,35-44,Male,Bulgaria,2022-02,
CUST_200507,65+,Female,Netherlands,2022-02,
CUST_200508,55-64,Female,Poland,2022-01,
CUST_200509,45-54,Female,Turkey,2022-03,
CUST_200510,55-64,Female,Turkey,2022-01,
CUST_2005100,65+,Female,Bulgaria,2022-02,
CUST_200511,65+,Male,Turkey,2022-01,
CUST_2005110,35-44,Female,Kosovo,2022-11,
CUST_200512,35-44,Female,Germany,2022-05,
CUST_200513,35-44,Male,Greece,2022-01,
CUST_200514,35-44,Male,Germany,2022-04,
CUST_200517,35-44,Female,Netherlands,2022-03,
CUST_200522,65+,Male,Germany,2022-02,
CUST_200523,45-54,Female,Azerbaijan,2022-01,
CUST_200525,45-54,Male,Greece,2022-01,
CUST_200526,45-54,Female,Turkey,2022-04,
CUST_200530,55-64,Male,Turkey,2022-08,
CUST_200532,65+,Female,Azerbaijan,2022-10,
CUST_200533,35-44,Female,Turkey,2022-03,
CUST_200534,65+,Female,Azerbaijan,2022-01,
CUST_200536,65+,Male,Azerbaijan,2022-03,
CUST_200539,35-44,Female,Azerbaijan,2022-02,
CUST_200545,45-54,Female,Netherlands,2022-10,
CUST_200548,65+,Female,Netherlands,2022-10,
CUST_200557,65+,Female,Italy,2022-01,
CUST_200560,55-64,Male,Turkey,2022-04,
CUST_200561,55-64,Male,Germany,2022-01,
CUST_200562,45-54,Male,Turkey,2022-06,
CUST_200565,25-34,Male,Greece,2022-01,
CUST_200566,35-44,Male,Bulgaria,2022-01,
CUST_200574,35-44,Female,Greece,2022-05,
CUST_200579,65+,Female,Greece,2022-02,
CUST_200580,25-34,Female,Germany,2022-02,
CUST_200581,55-64,Male,Romania,2022-01,
CUST_200582,35-44,Male,Netherlands,2022-01,
CUST_200583,65+,Male,Turkey,2022-01,
CUST_200593,35-44,Male,Turkey,2022-03,
CUST_200601,55-64,Male,Greece,2022-11,
CUST_200611,45-54,Male,Kosovo,2022-01,
CUST_200612,25-34,Female,Netherlands,2022-01,
CUST_200615,65+,Female,Germany,2022-12,
CUST_200623,55-64,Male,Turkey,2022-06,
CUST_200624,25-34,Female,Germany,2022-01,
CUST_200625,18-24,Female,Kosovo,2022-05,
CUST_200626,45-54,Female,Italy,2022-01,
CUST_200633,25-34,Male,Kosovo,2022-02,
CUST_200635,65+,Male,Germany,2022-01,
CUST_2006350,65+,Female,Turkey,2022-06,
CUST_20063500,55-64,Male,Turkey,2022-01,
CUST_200637,55-64,Male,Bulgaria,2022-04,
CUST_200639,45-54,Female,Germany,2022-04,
CUST_200640,55-64,Female,Germany,2022-04,
CUST_200644,45-54,Female,Germany,2022-03,
CUST_200645,35-44,Female,Netherlands,2022-01,
CUST_200646,45-54,Male,Netherlands,2022-09,
CUST_200647,55-64,Female,Kosovo,2022-02,
CUST_200648,55-64,Female,Azerbaijan,2022-01,
CUST_200649,65+,Female,Bulgaria,2022-05,
CUST_200660,35-44,Male,Greece,2022-07,
CUST_200661,45-54,Male,Turkey,2022-01,
CUST_200666,55-64,Female,Bulgaria,2022-02,
CUST_200671,45-54,Female,Germany,2022-01,
CUST_200672,25-34,Female,Turkey,2022-01,
CUST_200674,35-44,Female,Turkey,2022-05,
CUST_200677,65+,Female,Kosovo,2022-01,
CUST_200683,45-54,Male,Germany,2022-09,
CUST_200686,65+,Female,Azerbaijan,2022-12,
CUST_200691,65+,Male,Netherlands,2022-06,
CUST_200692,55-64,Female,Bulgaria,2022-10,
CUST_200696,18-24,Male,Greece,2022-05,
CUST_200697,45-54,Male,Greece,2022-01,
CUST_200698,55-64,Female,Azerbaijan,2022-01,
CUST_200700,45-54,Female,Bulgaria,2022-01,
CUST_2007000,65+,Female,Bulgaria,2022-10,
CUST_200701,45-54,Female,Greece,2022-05,
CUST_200708,35-44,Male,Netherlands,2022-11,
CUST_200710,35-44,Male,Turkey,2022-01,
CUST_200711,65+,Male,Greece,2022-01,
CUST_200712,65+,Female,Greece,2022-03,
CUST_200713,55-64,Female,Romania,2022-04,
CUST_200715,65+,Male,Greece,2022-02,
CUST_200716,35-44,Male,Greece,2022-02,
CUST_200720,65+,Male,Greece,2022-01,
CUST_200724,18-24,Female,Netherlands,2022-01,
CUST_200725,25-34,Female,Germany,2022-01,
CUST_200726,18-24,Female,Azerbaijan,2022-01,
CUST_200727,45-54,Female,Greece,2022-02,
CUST_200732,18-24,Female,Italy,2022-03,
CUST_200733,45-54,Male,Turkey,2022-01,
CUST_200739,45-54,Female,Germany,2022-01,
CUST_200741,55-64,Male,Germany,2022-04,
CUST_200743,65+,Female,Germany,2022-09,
CUST_200746,35-44,Male,Kosovo,2022-01,
CUST_200748,45-54,Male,Turkey,2022-01,
CUST_200755,45-54,Female,Turkey,2022-02,
CUST_200756,35-44,Female,Greece,2022-01,
CUST_200761,55-64,Male,Kosovo,2022-01,
CUST_200767,65+,Male,Poland,2022-01,
CUST_200768,25-34,Male,Greece,2022-01,
CUST_200774,25-34,Male,Greece,2022-06,
CUST_200777,55-64,Male,Germany,2022-11,
CUST_200781,45-54,Female,Netherlands,2022-01,
CUST_200787,45-54,Female,Germany,2022-01,
CUST_200790,35-44,Female,Netherlands,2022-01,
CUST_200791,45-54,Male,Netherlands,2022-03,
CUST_200793,35-44,Male,Bulgaria,2022-05,
CUST_200797,55-64,Male,Netherlands,2022-01,
CUST_200798,35-44,Male,Germany,2022-04,
CUST_200799,25-34,Female,Kosovo,2022-06,
CUST_200801,65+,Female,Bulgaria,2022-01,
CUST_200804,45-54,Female,Netherlands,2022-04,
CUST_200805,35-44,Female,Bulgaria,2022-02,
CUST_200812,55-64,Male,Turkey,2022-03,
CUST_200815,65+,Female,Kosovo,2022-10,
CUST_200819,18-24,Male,Greece,2022-11,
CUST_200823,55-64,Male,Romania,2022-01,
CUST_200826,55-64,Female,Kosovo,2022-08,
CUST_200827,65+,Male,Azerbaijan,2022-04,
CUST_200828,55-64,Female,Turkey,2022-10,
CUST_200829,25-34,Female,Kosovo,2022-01,
CUST_200831,45-54,Male,Azerbaijan,2022-03,
CUST_200835,45-54,Female,Greece,2022-02,
CUST_200837,25-34,Male,Bulgaria,2022-06,
CUST_200841,65+,Female,Greece,2022-10,
CUST_200843,45-54,Male,Bulgaria,2022-02,
CUST_200845,35-44,Female,Bulgaria,2022-01,
CUST_200847,65+,Female,Turkey,2022-01,
CUST_200858,65+,Male,Netherlands,2022-05,
CUST_200859,55-64,Female,Bulgaria,2022-02,
CUST_200860,25-34,Female,Kosovo,2022-01,
CUST_200862,45-54,Female,Turkey,2022-04,
CUST_200864,25-34,Female,Azerbaijan,2022-02,
CUST_200865,35-44,Female,Turkey,2022-05,
CUST_200866,45-54,Male,Germany,2022-02,
CUST_200867,55-64,Male,Netherlands,2022-10,
CUST_200868,35-44,Male,Kosovo,2022-01,
CUST_200870,25-34,Male,Romania,2022-07,
CUST_200871,25-34,Female,Poland,2022-01,
CUST_200875,55-64,Male,Azerbaijan,2022-01,
CUST_200876,65+,Female,Azerbaijan,2022-01,
CUST_200878,35-44,Female,Turkey,2022-01,
CUST_200881,45-54,Male,Bulgaria,2022-01,
CUST_200884,25-34,Female,Greece,2022-03,
CUST_200898,55-64,Male,Turkey,2022-05,
CUST_200900,35-44,Female,Bulgaria,2022-11,
CUST_200906,65+,Female,Turkey,2022-01,
CUST_200922,35-44,Female,Turkey,2022-03,
CUST_200929,55-64,Female,Turkey,2022-04,
CUST_200935,45-54,Female,Bulgaria,2022-04,
CUST_200938,55-64,Female,Bulgaria,2022-01,
CUST_200943,35-44,Male,Romania,2022-01,
CUST_200948,35-44,Female,Greece,2022-03,
CUST_200950,65+,Female,Germany,2022-01,
CUST_200953,65+,Female,Netherlands,2022-11,
CUST_200954,65+,Female,Bulgaria,2022-01,
CUST_200956,55-64,Male,Azerbaijan,2022-01,
CUST_200960,18-24,Male,Azerbaijan,2022-12,
CUST_200968,55-64,Female,Turkey,2022-08,
CUST_200972,65+,Female,Germany,2022-06,
CUST_200978,45-54,Male,Netherlands,2022-01,
CUST_200986,45-54,Male,Germany,2022-01,
CUST_200987,65+,Female,Bulgaria,2022-01,
CUST_200988,65+,Female,Netherlands,2022-01,
CUST_200989,65+,Female,Turkey,2022-09,
CUST_200991,65+,Female,Poland,2022-05,
CUST_200994,55-64,Female,Turkey,2022-03,
CUST_200995,18-24,Male,Greece,2022-02,
CUST_200997,55-64,Female,Romania,2022-05,
CUST_200998,65+,Male,Bulgaria,2022-11,
CUST_201002,25-34,Male,Bulgaria,2022-04,
CUST_201011,65+,Female,Turkey,2022-06,
CUST_201019,18-24,Female,Turkey,2022-04,
CUST_201021,35-44,Female,Bulgaria,2022-02,
CUST_201023,25-34,Male,Azerbaijan,2022-03,
CUST_201026,55-64,Male,Germany,2022-01,
CUST_201027,25-34,Female,Kosovo,2022-03,
CUST_201033,35-44,Female,Turkey,2022-03,
CUST_201037,25-34,Male,Azerbaijan,2022-01,
CUST_201040,35-44,Female,Greece,2022-01,
CUST_201042,18-24,Female,Turkey,2022-01,
CUST_201043,55-64,Male,Germany,2022-02,
CUST_201046,35-44,Female,Kosovo,2022-01,
CUST_201047,45-54,Female,Bulgaria,2022-02,
CUST_201050,35-44,Male,Romania,2022-03,
CUST_201059,65+,Female,Germany,2022-08,
CUST_201060,45-54,Female,Kosovo,2022-05,
CUST_201062,65+,Female,Germany,2022-11,
CUST_201075,65+,Female,Greece,2022-01,
CUST_201076,55-64,Male,Turkey,2022-02,
CUST_201077,65+,Female,Turkey,2022-12,
CUST_201082,35-44,Male,Kosovo,2022-12,
CUST_201086,35-44,Male,Kosovo,2022-05,
CUST_201087,55-64,Female,Netherlands,2022-03,
CUST_201090,65+,Male,Kosovo,2022-03,
CUST_201091,55-64,Male,Greece,2022-08,
CUST_201093,45-54,Male,Kosovo,2022-04,
CUST_201094,65+,Male,Germany,2022-01,
CUST_201095,35-44,Female,Turkey,2022-01,
CUST_201098,25-34,Male,Germany,2022-01,
CUST_201103,55-64,Female,Azerbaijan,2022-03,
CUST_201106,35-44,Male,Greece,2022-08,
CUST_201107,65+,Female,Poland,2022-02,
CUST_201108,35-44,Female,Turkey,2022-01,
CUST_201115,45-54,Male,Germany,2022-03,
CUST_201118,35-44,Female,Poland,2022-04,
CUST_201121,65+,Female,Germany,2022-04,
CUST_201126,45-54,Male,Greece,2022-01,
CUST_201127,25-34,Female,Bulgaria,2022-01,
CUST_201128,65+,Female,Kosovo,2022-09,
CUST_201136,65+,Female,Germany,2022-09,
CUST_201143,35-44,Female,Germany,2022-01,
CUST_201148,55-64,Female,Turkey,2022-12,
CUST_201159,35-44,Male,Kosovo,2022-03,
CUST_201160,45-54,Female,Netherlands,2022-01,
CUST_201161,25-34,Male,Germany,2022-01,
CUST_201171,18-24,Female,Romania,2022-05,
CUST_201172,25-34,Male,Greece,2022-01,
CUST_201173,55-64,Male,Bulgaria,2022-05,
CUST_201174,35-44,Female,Kosovo,2022-01,
CUST_201179,65+,Male,Turkey,2022-05,
CUST_201181,55-64,Male,Turkey,2022-01,
CUST_201182,55-64,Female,Italy,2022-01,
CUST_201187,35-44,Male,Netherlands,2022-01,
CUST_201189,25-34,Female,Bulgaria,2022-12,
CUST_201190,35-44,Female,Germany,2022-05,
CUST_201193,55-64,Female,Azerbaijan,2022-01,
CUST_201194,55-64,Female,Germany,2022-01,
CUST_201199,35-44,Male,Poland,2022-11,
CUST_201202,65+,Female,Germany,2022-12,
CUST_201212,25-34,Male,Germany,2022-04,
CUST_201215,35-44,Male,Romania,2022-04,
CUST_201221,65+,Male,Germany,2022-10,
CUST_201222,65+,Male,Kosovo,2022-03,
CUST_201227,65+,Male,Bulgaria,2022-04,
CUST_201229,25-34,Male,Greece,2022-02,
CUST_201233,25-34,Male,Azerbaijan,2022-05,
CUST_201235,65+,Male,Germany,2022-01,
CUST_201236,18-24,Male,Germany,2022-02,
CUST_201238,65+,Male,Kosovo,2022-07,
CUST_201239,18-24,Male,Greece,2022-07,
CUST_201240,25-34,Female,Azerbaijan,2022-09,
CUST_201241,65+,Male,Azerbaijan,2022-02,
CUST_201243,65+,Female,Azerbaijan,2022-11,
CUST_201244,25-34,Female,Azerbaijan,2022-11,
CUST_201248,55-64,Male,Netherlands,2022-01,
CUST_201256,55-64,Female,Bulgaria,2022-09,
CUST_201258,18-24,Male,Romania,2022-01,
CUST_201261,65+,Female,Bulgaria,2022-01,
CUST_201268,25-34,Female,Netherlands,2022-03,
CUST_201270,45-54,Male,Turkey,2022-02,
CUST_201271,35-44,Male,Germany,2022-03,
CUST_201272,35-44,Female,Bulgaria,2022-01,
CUST_201280,55-64,Female,Bulgaria,2022-01,
CUST_201283,55-64,Female,Germany,2022-01,
CUST_201287,65+,Male,Turkey,2022-01,
CUST_201289,55-64,Male,Bulgaria,2022-06,
CUST_201290,35-44,Female,Bulgaria,2022-05,
CUST_201292,45-54,Female,Bulgaria,2022-03,
CUST_201293,25-34,Female,Bulgaria,2022-12,
CUST_201294,55-64,Female,Bulgaria,2022-05,
CUST_201297,25-34,Female,Germany,2022-02,
CUST_201298,65+,Male,Germany,2022-01,
CUST_201301,25-34,Female,Turkey,2022-01,
CUST_201303,55-64,Male,Kosovo,2022-03,
CUST_201304,55-64,Female,Netherlands,2022-10,
CUST_201306,45-54,Female,Turkey,2022-06,
CUST_201307,65+,Female,Turkey,2022-06,
CUST_201313,65+,Male,Poland,2022-04,
CUST_201314,55-64,Female,Bulgaria,2022-04,
CUST_201319,55-64,Male,Germany,2022-01,
CUST_2013190,45-54,Male,Turkey,2022-03,
CUST_201327,35-44,Female,Germany,2022-12,
CUST_201331,35-44,Male,Turkey,2022-02,
CUST_201334,65+,Male,Kosovo,2022-04,
CUST_201336,55-64,Female,Germany,2022-03,
CUST_201337,35-44,Female,Italy,2022-04,
CUST_201342,35-44,Male,Germany,2022-01,
CUST_201343,25-34,Female,Germany,2022-02,
CUST_201352,65+,Male,Germany,2022-01,
CUST_201357,45-54,Male,Bulgaria,2022-03,
CUST_201358,45-54,Female,Germany,2022-01,
CUST_201366,35-44,Female,Turkey,2022-03,
CUST_201372,55-64,Male,Turkey,2022-03,
CUST_201373,25-34,Male,Turkey,2022-01,
CUST_201375,18-24,Male,Greece,2022-04,
CUST_201377,55-64,Female,Azerbaijan,2022-05,
CUST_201378,45-54,Female,Greece,2022-04,
CUST_201379,65+,Male,Bulgaria,2022-05,
CUST_201380,25-34,Female,Netherlands,2022-04,
CUST_201381,55-64,Female,Azerbaijan,2022-06,
CUST_201382,35-44,Male,Greece,2022-03,
CUST_201384,55-64,Male,Germany,2022-01,
CUST_201385,35-44,Male,Turkey,2022-06,
CUST_2013850,65+,Female,Greece,2022-08,
CUST_201388,25-34,Male,Azerbaijan,2022-03,
CUST_201389,45-54,Male,Germany,2022-03,
CUST_201390,55-64,Male,Azerbaijan,2022-01,
CUST_201393,65+,Female,Germany,2022-03,
CUST_201396,65+,Male,Bulgaria,2022-12,
CUST_201397,45-54,Male,Turkey,2022-05,
CUST_201399,55-64,Female,Kosovo,2022-05,
CUST_201400,65+,Female,Greece,2022-01,
CUST_201401,45-54,Male,Poland,2022-01,
CUST_201403,25-34,Female,Turkey,2022-01,
CUST_201404,35-44,Male,Bulgaria,2022-05,
CUST_201407,25-34,Male,Bulgaria,2022-01,
CUST_201410,45-54,Male,Bulgaria,2022-01,
CUST_201411,35-44,Female,Greece,2022-02,
CUST_201413,65+,Male,Germany,2022-02,
CUST_201414,55-64,Male,Azerbaijan,2022-02,
CUST_201416,25-34,Female,Bulgaria,2022-01,
CUST_201423,65+,Male,Greece,2022-04,
CUST_201426,25-34,Female,Greece,2022-07,
CUST_201429,55-64,Male,Turkey,2022-04,
CUST_201430,55-64,Male,Germany,2022-04,
CUST_201432,65+,Female,Azerbaijan,2022-10,
CUST_201435,55-64,Female,Netherlands,2022-01,
CUST_201439,55-64,Female,Turkey,2022-01,
CUST_201440,55-64,Female,Germany,2022-02,
CUST_201444,25-34,Female,Bulgaria,2022-01,
CUST_201446,35-44,Female,Kosovo,2022-01,
CUST_2014460,35-44,Male,Greece,2022-10,
CUST_201448,45-54,Male,Germany,2022-05,
CUST_201450,65+,Female,Germany,2022-01,
CUST_201451,65+,Male,Kosovo,2022-01,
CUST_201452,45-54,Female,Azerbaijan,2022-01,
CUST_201453,55-64,Male,Bulgaria,2022-02,
CUST_201462,65+,Male,Bulgaria,2022-09,
CUST_201464,45-54,Male,Poland,2022-04,
CUST_201472,45-54,Male,Turkey,2022-01,
CUST_201473,65+,Female,Romania,2022-10,
CUST_201481,25-34,Male,Germany,2022-11,
CUST_201482,65+,Female,Romania,2022-01,
CUST_201483,45-54,Male,Bulgaria,2022-03,
CUST_201491,35-44,Female,Bulgaria,2022-01,
CUST_201492,35-44,Male,Turkey,2022-12,
CUST_201495,55-64,Female,Germany,2022-01,
CUST_201499,25-34,Female,Greece,2022-05,
CUST_201510,65+,Male,Bulgaria,2022-01,
CUST_201511,55-64,Male,Turkey,2022-02,
CUST_201512,35-44,Female,Germany,2022-01,
CUST_201515,65+,Male,Greece,2022-04,
CUST_201518,45-54,Female,Turkey,2022-07,
CUST_201532,55-64,Male,Netherlands,2022-01,
CUST_201534,45-54,Female,Germany,2022-09,
CUST_201535,35-44,Male,Poland,2022-04,
CUST_201536,35-44,Female,Greece,2022-09,
CUST_201537,25-34,Male,Germany,2022-04,
CUST_201539,65+,Male,Azerbaijan,2022-02,
CUST_201541,55-64,Male,Netherlands,2022-01,
CUST_201542,65+,Male,Kosovo,2022-03,
CUST_201555,25-34,Male,Germany,2022-05,
CUST_201558,65+,Male,Netherlands,2022-03,
CUST_201559,18-24,Female,Bulgaria,2022-01,
CUST_201561,65+,Male,Poland,2022-10,
CUST_201562,55-64,Female,Turkey,2022-01,
CUST_201563,65+,Female,Greece,2022-04,
CUST_201565,35-44,Female,Poland,2022-01,
CUST_201566,65+,Female,Turkey,2022-07,
CUST_201567,25-34,Female,Netherlands,2022-01,
CUST_2015670,55-64,Female,Azerbaijan,2022-05,
CUST_201568,35-44,Female,Azerbaijan,2022-01,
CUST_201572,45-54,Male,Turkey,2022-04,
CUST_201573,65+,Male,Turkey,2022-09,
CUST_201579,18-24,Female,Turkey,2022-01,
CUST_201581,55-64,Male,Netherlands,2022-01,
CUST_201586,45-54,Male,Greece,2022-01,
CUST_201592,65+,Male,Greece,2022-01,
CUST_201593,45-54,Male,Turkey,2022-02,
CUST_201594,25-34,Male,Turkey,2022-02,
CUST_201595,35-44,Male,Bulgaria,2022-01,
CUST_201598,45-54,Female,Greece,2022-01,
CUST_201603,25-34,Female,Greece,2022-01,
CUST_201605,35-44,Male,Turkey,2022-01,
CUST_201606,55-64,Female,Turkey,2022-01,
CUST_201607,25-34,Male,Greece,2022-01,
CUST_201609,65+,Female,Netherlands,2022-01,
CUST_201615,25-34,Female,Bulgaria,2022-12,
CUST_201616,18-24,Male,Germany,2022-01,
CUST_201622,25-34,Male,Azerbaijan,2022-03,
CUST_201623,65+,Female,Germany,2022-03,
CUST_201624,35-44,Male,Greece,2022-08,
CUST_201625,18-24,Male,Bulgaria,2022-10,
CUST_201626,65+,Female,Germany,2022-01,
CUST_201639,65+,Female,Kosovo,2022-11,
CUST_201641,18-24,Male,Netherlands,2022-06,
CUST_201646,35-44,Female,Germany,2022-09,
CUST_201651,35-44,Male,Kosovo,2022-12,
